Date ,Price ,Open ,High ,Low ,Vol. ,Change %
"Feb 16, 2009 ",113.92 ,117.05 ,118.32 ,112.99 ,1.04M ,-3.46%
"Feb 17, 2009 ",110.54 ,112.84 ,113.36 ,109.01 ,1.35M ,-2.97%
"Feb 18, 2009 ",110.31 ,109.41 ,112.20 ,108.62 ,952.57K ,-0.21%
"Feb 19, 2009 ",116.18 ,110.20 ,116.90 ,108.62 ,3.50M ,5.32%
"Feb 20, 2009 ",113.50 ,114.58 ,115.79 ,110.78 ,1.99M ,-2.31%
"Feb 24, 2009 ",112.26 ,112.34 ,113.28 ,110.38 ,1.22M ,-1.09%
"Feb 25, 2009 ",114.73 ,113.36 ,115.42 ,111.78 ,1.80M ,2.20%
"Feb 26, 2009 ",113.44 ,113.36 ,116.00 ,111.86 ,2.94M ,-1.12%
"Feb 27, 2009 ",109.41 ,113.36 ,113.89 ,107.59 ,3.61M ,-3.55%
"Mar 02, 2009 ",107.25 ,107.83 ,108.06 ,103.61 ,2.31M ,-1.97%
"Mar 03, 2009 ",105.93 ,106.14 ,108.59 ,105.14 ,2.06M ,-1.23%
"Mar 04, 2009 ",108.59 ,106.46 ,109.15 ,105.59 ,1.35M ,2.51%
"Mar 05, 2009 ",108.99 ,109.67 ,109.67 ,107.62 ,1.73M ,0.37%
"Mar 06, 2009 ",112.47 ,108.04 ,113.63 ,107.01 ,2.13M ,3.19%
"Mar 09, 2009 ",108.78 ,110.73 ,111.78 ,107.62 ,1.02M ,-3.28%
"Mar 12, 2009 ",111.81 ,113.89 ,113.89 ,109.30 ,2.23M ,2.79%
"Mar 13, 2009 ",118.58 ,113.36 ,119.16 ,112.84 ,3.95M ,6.05%
"Mar 16, 2009 ",120.43 ,118.64 ,120.75 ,116.16 ,2.26M ,1.56%
"Mar 17, 2009 ",120.11 ,120.48 ,121.11 ,116.40 ,2.01M ,-0.27%
"Mar 18, 2009 ",121.56 ,121.80 ,125.44 ,119.88 ,1.87M ,1.21%
"Mar 19, 2009 ",122.64 ,122.56 ,124.33 ,120.38 ,2.02M ,0.89%
"Mar 20, 2009 ",121.83 ,121.80 ,123.46 ,119.95 ,2.04M ,-0.66%
"Mar 23, 2009 ",126.18 ,122.85 ,127.05 ,122.54 ,2.03M ,3.57%
"Mar 24, 2009 ",128.31 ,127.89 ,131.50 ,126.02 ,3.30M ,1.69%
"Mar 25, 2009 ",127.89 ,127.34 ,131.48 ,126.33 ,2.48M ,-0.33%
"Mar 26, 2009 ",134.72 ,127.89 ,139.09 ,127.55 ,4.44M ,5.34%
"Mar 27, 2009 ",133.43 ,134.45 ,137.09 ,129.87 ,2.20M ,-0.96%
"Mar 30, 2009 ",127.10 ,130.76 ,131.63 ,125.15 ,2.14M ,-4.74%
"Mar 31, 2009 ",129.66 ,124.46 ,130.42 ,124.46 ,1.32M ,2.01%
"Apr 01, 2009 ",133.08 ,129.71 ,134.30 ,126.62 ,1.28M ,2.64%
"Apr 02, 2009 ",142.42 ,134.48 ,143.63 ,134.45 ,2.37M ,7.02%
"Apr 06, 2009 ",142.10 ,143.42 ,147.11 ,138.33 ,2.54M ,-0.22%
"Apr 08, 2009 ",148.88 ,137.70 ,152.80 ,136.04 ,5.17M ,4.77%
"Apr 09, 2009 ",144.71 ,150.27 ,152.25 ,143.31 ,3.31M ,-2.80%
"Apr 13, 2009 ",141.70 ,146.58 ,147.69 ,137.33 ,3.44M ,-2.08%
